Timestamp,Digit,Stake,Outcome,Profit
2025-05-24 14:48:05,2,500,loss,-500
2025-05-24 14:48:05,2,500,loss,-500
2025-05-24 14:48:05,2,500,loss,-500
2025-05-24 14:48:08,5,500,pending,0
2025-05-24 14:48:08,5,500,pending,0
2025-05-24 14:48:09,5,500,pending,0
2025-05-24 14:48:15,5,500,loss,-500
2025-05-24 14:48:15,5,500,loss,-500
2025-05-24 14:48:17,5,500,loss,-500
2025-05-24 14:53:23,4,500,pending,0
2025-05-24 14:53:23,4,500,pending,0
2025-05-24 14:53:23,4,500,pending,0
2025-05-24 14:53:29,4,500,loss,-500
2025-05-24 14:53:29,4,500,loss,-500
2025-05-24 14:53:31,4,500,loss,-500
2025-05-24 14:55:40,1,500,pending,0
2025-05-24 14:55:40,1,500,pending,0
2025-05-24 14:55:41,1,500,pending,0
2025-05-24 14:55:47,1,500,win,3948.05
2025-05-24 14:55:47,1,500,win,3948.05
2025-05-24 14:55:49,1,500,loss,-500
2025-05-24 14:55:50,1,500,pending,0
2025-05-24 14:55:50,1,500,pending,0
2025-05-24 14:55:51,1,500,pending,0
2025-05-24 14:55:57,1,500,win,3948.05
2025-05-24 14:55:57,1,500,win,3948.05
2025-05-24 14:55:59,1,500,loss,-500
2025-05-24 14:56:01,1,500,pending,0
2025-05-24 14:56:01,1,500,pending,0
2025-05-24 14:56:03,1,500,pending,0
2025-05-24 14:56:09,1,500,win,3948.05
2025-05-24 14:56:09,1,500,win,3948.05
2025-05-24 14:56:09,1,500,loss,-500
2025-05-24 14:56:11,1,500,pending,0
2025-05-24 14:56:11,1,500,pending,0
2025-05-24 14:56:12,1,500,pending,0
2025-05-24 14:56:19,1,500,loss,-500
2025-05-24 14:56:19,1,500,loss,-500
2025-05-24 14:56:19,1,500,loss,-500
2025-05-24 14:56:22,1,500,pending,0
2025-05-24 14:56:22,1,500,pending,0
2025-05-24 14:56:23,1,500,pending,0
2025-05-24 14:56:29,1,500,loss,-500
2025-05-24 14:56:29,1,500,loss,-500
2025-05-24 14:56:31,1,500,loss,-500
2025-05-24 15:01:37,5,500,pending,0
2025-05-24 15:01:37,5,500,pending,0
2025-05-24 15:01:37,5,500,pending,0
2025-05-24 15:01:43,5,500,win,3948.05
2025-05-24 15:01:43,5,500,win,3948.05
2025-05-24 15:01:45,5,500,loss,-500
2025-05-24 15:01:47,5,500,pending,0
2025-05-24 15:01:47,5,500,pending,0
2025-05-24 15:01:48,5,500,pending,0
2025-05-24 15:01:55,5,500,loss,-500
2025-05-24 15:01:55,5,500,loss,-500
2025-05-24 15:01:55,5,500,loss,-500
2025-05-24 15:01:57,5,500,pending,0
2025-05-24 15:01:57,5,500,pending,0
2025-05-24 15:01:58,5,500,pending,0
